1;501;BA621NA;1;1.1.2014;2.1.2014;
2;502;BA540ME;2;2.1.2014;2.1.2014;
3;503;BL323BA;3;3.1.2014;3.1.2014;
4;504;BA788DE;4;4.1.2014;4.1.2014;
5;505;BA011OT;3;5.1.2014;5.1.2014;
6;506;BA345LO;3;6.1.2014;6.1.2014;
7;507;BA448DA;;7.1.2014;7.1.2014;
8;508;BA494EA;4;8.1.2014;8.1.2014;
9;509;BA831HS;;9.1.2014;9.1.2014;
10;510;BA540AL;;10.1.2014;10.1.2014;
11;511;BA501AO;5;11.1.2014;11.1.2014;
12;512;SN207CR;;12.1.2014;12.1.2014;
13;513;BA895JU;;13.1.2014;13.1.2014;
14;514;BL772DO;;14.1.2014;15.1.2014;
15;515;BL788EU;6;15.1.2014;15.1.2014;
16;516;NR263GV;;16.1.2014;16.1.2014;
17;517;MA605CV;;17.1.2014;17.1.2014;
18;518;BA914DS;;18.1.2014;18.1.2014;
19;519;BA416KK;;19.1.2014;19.1.2014;
20;520;BA586NS;;20.1.2014;20.1.2014;
21;521;RK558BN;;21.1.2014;21.1.2014;
22;522;MA324AS;;22.1.2014;22.1.2014;
23;523;BA118VM;7;23.1.2014;23.1.2014;
24;524;BA110JB;;24.1.2014;24.1.2014;
25;525;LM726AM;;25.1.2014;25.1.2014;
26;526;BA232BD;;26.1.2014;26.1.2014;
27;527;BA392TT;;27.1.2014;28.1.2014;
28;528;NR815EP;;28.1.2014;29.1.2014;
29;529;BA364VS;;29.1.2014;29.1.2014;
30;530;BA366VN;;30.1.2014;30.1.2014;
31;531;BL596LR;;31.1.2014;31.1.2014;
32;532;BA826YK;8;1.2.2014;1.2.2014;
33;533;BA028BA;;2.2.2014;2.2.2014;
34;534;BA114EB;;3.2.2014;3.2.2014;
35;535;BA984GE;;4.2.2014;4.2.2014;
36;536;GA027DZ;;5.2.2014;5.2.2014;
37;537;BA822CA;;6.2.2014;6.2.2014;
38;538;MI981AZ;;7.2.2014;7.2.2014;
39;539;BA623DI;;8.2.2014;8.2.2014;
40;540;BA110RC;;9.2.2014;9.2.2014;
41;541;PK966BL;;10.2.2014;10.2.2014;
42;542;BL387BV;;11.2.2014;12.2.2014;
43;543;BL643DJ;9;12.2.2014;13.2.2014;
44;544;BA486UC;;13.2.2014;13.2.2014;
45;545;BA030BK;;14.2.2014;14.2.2014;
46;546;BA762XF;;15.2.2014;15.2.2014;
47;547;BA956AT;;16.2.2014;16.2.2014;
48;548;BB496AM;;17.2.2014;17.2.2014;
49;549;BA433FO;;18.2.2014;18.2.2014;
50;550;BA189BI;;19.2.2014;19.2.2014;
51;551;BA528CP;10;20.2.2014;20.2.2014;
52;552;SE120AS;;21.2.2014;21.2.2014;
53;553;BA292UH;;22.2.2014;22.2.2014;
54;554;BA950RN;;23.2.2014;23.2.2014;
55;555;BA374VL;;24.2.2014;24.2.2014;
56;556;BL437GZ;;25.2.2014;25.2.2014;
57;557;RV818BV;11;26.2.2014;26.2.2014;
58;558;BL560JH;;27.2.2014;27.2.2014;
59;559;BA042JE;;28.2.2014;28.2.2014;
60;560;BA511TE;;1.3.2014;1.3.2014;
61;561;BA330VG;;2.3.2014;2.3.2014;
62;562;BA028VL;;3.3.2014;3.3.2014;
63;563;BL437KO;12;4.3.2014;5.3.2014;
64;564;BA228LM;;5.3.2014;7.3.2014;
65;565;BA928ML;;6.3.2014;6.3.2014;
66;566;BA806KP;;7.3.2014;7.3.2014;
67;567;TO803AZ;;8.3.2014;8.3.2014;
68;568;BA341KR;;9.3.2014;9.3.2014;
69;569;BA185CK;;10.3.2014;10.3.2014;
70;570;BA311HC;;11.3.2014;11.3.2014;
71;571;BA737CK;;12.3.2014;12.3.2014;
72;572;RS797BB;;13.3.2014;13.3.2014;
73;573;SA247BE;13;14.3.2014;14.3.2014;
74;574;MI660CR;;15.3.2014;15.3.2014;
75;575;MA502BY;;16.3.2014;16.3.2014;
76;576;BL074AD;;17.3.2014;17.3.2014;
77;577;BA621NA;;18.3.2014;18.3.2014;
78;578;BA540ME;;19.3.2014;19.3.2014;
79;579;BL323BA;;20.3.2014;20.3.2014;
80;580;BA788DE;;21.3.2014;21.3.2014;
81;581;BA011OT;14;22.3.2014;22.3.2014;
82;582;BA345LO;;23.3.2014;23.3.2014;
83;583;BA448DA;;24.3.2014;24.3.2014;
84;584;BA494EA;;25.3.2014;25.3.2014;
